,rank,name,mcap,mcap_raw,inflow,outflow,netflow,inflow_raw,outflow_raw,netflow_raw
166,167,ZRX,$154.6M,154590238.856549440,$1M,$1.1M,$-103.3K,1022318.0111227218,1125613.468251502,-103295.45712878015
167,168,FARM,$15.8M,15776367.757455343,$1.2M,$949K,$249.4K,1198411.5208653922,948972.7726440021,249438.74822139015
168,169,DODO,$42.6M,42645255.370917610,$928.6K,$1.2M,$-283.1K,928556.3585190462,1211617.7505304068,-283061.3920113606
169,170,IMX,$622.4M,622408702.998231000,$951K,$1.2M,$-225.4K,950979.391922822,1176367.243690449,-225387.85176762711
170,171,CHESS,$15.4M,15364884.873582795,$1.1M,$1M,$50.2K,1073788.1218967454,1023621.4725891232,50166.64930762223
171,172,SANTOS,$13.2M,13169059.310793752,$1M,$1.1M,$-73.6K,1004009.6578739586,1077561.4825285352,-73551.82465457662
172,173,ZEC,$419.5M,419544268.707303800,$1.1M,$951.5K,$162.8K,1114268.479535653,951507.042279905,162761.43725574794
173,174,DUSK,$49.3M,49278494.384155580,$891.6K,$1.2M,$-276.8K,891581.3657359926,1168402.124028883,-276820.7582928905
174,175,MDT,$30.2M,30218957.281035736,$847.7K,$1.2M,$-351.6K,847728.999165634,1199298.249011521,-351569.249845887
175,176,NMR,$79.8M,79840103.503961950,$854.3K,$1.2M,$-330.8K,854346.1423411374,1185173.8718825122,-330827.72954137495
176,177,VIB,$8.9M,8882448.766562501,$1.1M,$924.8K,$171.5K,1096260.0426184915,924774.377491293,171485.66512719847
177,178,MINA,$365.7M,365693781.459583640,$995K,$1M,$-26.6K,994982.6479080026,1021568.835396764,-26586.187488761338
178,179,ZIL,$259.8M,259754118.772101820,$939K,$1.1M,$-131.2K,939003.9809518089,1070206.220028161,-131202.2390763521
179,180,XTZ,$635.7M,635740723.683538600,$937.8K,$1.1M,$-122.8K,937845.6858576743,1060647.4048667715,-122801.71900909717
180,181,PHB,$26M,25951302.578295473,$994.9K,$956.7K,$38.2K,994927.3979855446,956736.343231418,38191.054754126555
181,182,TOMO,$116M,115972829.429983870,$896.7K,$992.3K,$-95.5K,896739.4052480445,992287.7595136426,-95548.35426559803
182,183,ARPA,$54.7M,54695851.561214660,$883K,$1M,$-117K,883045.226189332,1000082.7439290027,-117037.51773967067
183,184,ROSE,$265.7M,265722351.926915700,$751.1K,$1.1M,$-374K,751094.7458042405,1125063.0250251258,-373968.2792208853
184,185,CRO,$1.3B,1281396532.336817500,$1.1M,$776.6K,$320.2K,1096816.5128400652,776629.2367174637,320187.2761226015
185,186,COTI,$51.2M,51182874.274796160,$907K,$956.5K,$-49.5K,907000.8784879997,956470.9961795548,-49470.11769155512
186,187,OUSD,$15.9M,15915709.026174728,$923.7K,$931.1K,$-7.4K,923700.7580645655,931131.1421434118,-7430.384078846371
187,188,GMX,$295.7M,295720373.778804960,$847.5K,$994.9K,$-147.4K,847496.4424223055,994890.8962272073,-147394.45380490186
188,189,BEL,$38.4M,38400070.859583330,$821.5K,$997.2K,$-175.7K,821544.9746752196,997195.349858881,-175650.37518366135
189,190,FTT,$342.8M,342772469.289518700,$932.3K,$874.8K,$57.4K,932276.2543078532,874843.439439048,57432.81486880522
190,191,REI,$25.9M,25919724.000000000,$922K,$865.3K,$56.7K,922039.6524934883,865290.2090848385,56749.443408649735
191,192,BNT,$60.8M,60826214.365339180,$784.2K,$996.2K,$-212K,784205.1138849724,996225.5681820124,-212020.45429703992
192,193,BLUR,$164.8M,164814681.121744630,$735.3K,$1M,$-276.2K,735308.5716026586,1011461.9718500329,-276153.4002473743
193,194,AMP,$72.1M,72092308.685598800,$763.3K,$962.1K,$-198.8K,763268.2362928606,962091.4195188717,-198823.18322601102
194,195,BETH,$0,0.000000000,$390K,$1.3M,$-936.2K,389956.0788209867,1326172.9402851607,-936216.8614641741
195,196,ANT,$173.6M,173603356.033000000,$799.7K,$880.3K,$-80.6K,799685.4324318228,880303.2627102609,-80617.8302784382
196,197,SFP,$238.3M,238315049.761235600,$782.6K,$881.9K,$-99.2K,782626.1385172441,881865.8419519591,-99239.70343471493
197,198,HFT,$67.5M,67486542.964985250,$821.9K,$805.2K,$16.7K,821878.5021854563,805225.5923040768,16652.909881379535
198,199,SUSHI,$146.2M,146214840.598954500,$712.1K,$914.6K,$-202.4K,712143.0952444775,914575.9160919288,-202432.82084745134
199,200,STG,$94.1M,94051786.423551630,$748.4K,$873.7K,$-125.3K,748367.662698009,873670.2790352269,-125302.61633721786
200,201,1INCH,$260.1M,260073952.052221060,$712.9K,$882.2K,$-169.3K,712929.6301097912,882200.3908728822,-169270.76076309115
201,202,COMBO,$38.6M,38644185.774210036,$610.1K,$980.7K,$-370.5K,610147.324198738,980678.446483774,-370531.12228503596
202,203,CHR,$69.5M,69531649.374250780,$730.9K,$857.4K,$-126.6K,730854.5565294176,857429.4838375559,-126574.9273081383
203,204,ONT,$143.7M,143667738.502506430,$669.4K,$909.4K,$-240.1K,669374.166246805,909445.9764928991,-240071.81024609413
204,205,SHPING,$12.5M,12513322.891008000,$807.7K,$755.5K,$52.2K,807679.533944,755486.057728,52193.47621600004
205,206,SIS,$7.2M,7218822.359700000,$148.4K,$1.4M,$-1.2M,148391.915621711,1367309.127545618,-1218917.211923907
206,207,LRC,$237.2M,237238073.637290980,$731.8K,$780.9K,$-49.1K,731778.5695973845,780892.5856085889,-49114.01601120435
207,208,OMG,$62M,61995155.379230250,$709.6K,$802K,$-92.4K,709599.9900137614,802007.9272511145,-92407.93723735308
208,209,WOO,$296.3M,296335869.365825300,$710.2K,$796.3K,$-86.1K,710225.6929402685,796296.3595722866,-86070.66663201802
209,210,THETA,$608M,608024925.062500000,$799.6K,$700.9K,$98.7K,799638.5428041928,700927.9212086013,98710.6215955914
210,211,CLV,$23.6M,23611078.900957800,$730K,$764.9K,$-34.9K,730015.171153208,764918.9733623707,-34903.80220916272
211,212,JOE,$80.9M,80948361.292818170,$656.8K,$823.5K,$-166.7K,656809.281867343,823481.239039782,-166671.9571724389
212,213,API3,$92.9M,92883240.545079650,$713.5K,$763.4K,$-50K,713482.1538962005,763443.4178753861,-49961.263979185576
213,214,RSR,$99.6M,99648696.766666670,$684.9K,$766.5K,$-81.6K,684864.1168835493,766487.206867648,-81623.08998409881
214,215,ENJ,$230.2M,230194443.666666660,$732.6K,$714.1K,$18.5K,732606.3343268875,714134.4244085276,18471.90991836003
215,216,FLOKI,$151.5M,151528586.145579930,$698.1K,$748K,$-49.9K,698127.0790473807,747993.3924544276,-49866.313407046764
216,217,CTSI,$94.5M,94473844.196352700,$700.4K,$737.3K,$-36.9K,700437.832055258,737308.3466069112,-36870.51455165318
217,218,ANKR,$189.2M,189205909.388888840,$672.6K,$752.1K,$-79.5K,672565.7384018134,752078.4275545818,-79512.68915276827
218,219,CETUS,$0,0.000000000,$623.6K,$769.9K,$-146.3K,623553.976162375,769873.18769516,-146319.2115327851
219,220,PEOPLE,$47.7M,47652042.784002320,$565.9K,$799.2K,$-233.3K,565925.9905183783,799176.2693351995,-233250.27881682117
220,221,TFUEL,$204.6M,204648166.392170430,$745.6K,$613.7K,$131.9K,745560.5306069915,613680.0176602179,131880.51294677355
221,222,WBTC,$4.3B,4327742762.538440000,$640.3K,$704.7K,$-64.5K,640265.5559246837,704719.961746891,-64454.405822207336
222,223,DASH,$302.2M,302219450.564813000,$674.3K,$662.1K,$12.3K,674330.5345984135,662052.4883897752,12278.046208638378
223,224,OCEAN,$194.9M,194893647.400562550,$676.3K,$646.6K,$29.7K,676314.2726618072,646641.1992289756,29673.073432831705
224,225,DAR,$35M,34957432.882403220,$627.6K,$684.7K,$-57.1K,627615.2315208481,684691.2546448929,-57076.023124044725
225,226,NAKA,$39.4M,39350372.749770000,$733.3K,$574.6K,$158.7K,733267.709898585,574565.192959004,158702.51693958102
226,227,IRIS,$28.4M,28407890.730274364,$683.6K,$621K,$62.6K,683632.2503572659,621007.6591704135,62624.59118685243
227,228,XVG,$56.7M,56653408.704143636,$641.2K,$661.3K,$-20.1K,641190.8616893475,661304.045103922,-20113.18341457442
228,229,VRA,$40.6M,40592034.389695910,$566.3K,$731.3K,$-165K,566305.2421655329,731346.2263010312,-165040.98413549826
229,230,PNT,$7.8M,7805423.228513900,$631.5K,$641.6K,$-10.1K,631518.8669,641607.2568,-10088.389899999951
230,231,DAI,$5.3B,5340586053.868908000,$585.4K,$663.7K,$-78.3K,585370.7642426431,663706.3135858866,-78335.5493432435
231,232,OKB,$2.6B,2591100224.850000000,$717.5K,$505.6K,$211.9K,717525.3789232001,505627.4666212182,211897.91230198194
232,233,AMB,$13.2M,13169744.597519591,$462.2K,$756.5K,$-294.3K,462175.9559172385,756516.3328830486,-294340.3769658101
233,234,SYN,$44.8M,44801368.143189706,$522.8K,$690K,$-167.2K,522790.67553268065,689964.4034739959,-167173.7279413152
234,235,ASR,$6.6M,6579213.447074527,$515.2K,$693.6K,$-178.4K,515207.756548586,693611.316503636,-178403.55995504995
235,236,YFI,$180.6M,180605267.765552000,$544.3K,$661.5K,$-117.1K,544343.962536591,661469.3181352318,-117125.35559864088
236,237,FXS,$386.2M,386174004.482889650,$436.6K,$761.7K,$-325.1K,436648.17726111604,761715.7717614071,-325067.5945002911
237,238,HOT,$181.2M,181244763.485767570,$516K,$637.8K,$-121.8K,516025.2576060045,637786.3692066134,-121761.11160060897
238,239,PENDLE,$143.6M,143636612.467291150,$564.3K,$586.4K,$-22.1K,564261.140744162,586352.4241527477,-22091.28340858569
239,240,APM,$7M,7022865.698200000,$545.8K,$602.1K,$-56.3K,545771.4000639035,602120.3271549419,-56348.927091038335
240,241,DIA,$26.1M,26091285.009197090,$551.6K,$595.8K,$-44.3K,551576.0750339797,595846.0322008773,-44269.9571668976
241,242,PYR,$90.8M,90755166.366223380,$436.2K,$702.5K,$-266.3K,436199.86561955995,702495.0925001514,-266295.2268805914
242,243,BDX,$187.5M,187501369.163514500,$606.3K,$512.2K,$94.1K,606316.9710347771,512245.5251951044,94071.44583967273
243,244,ENS,$225M,225030539.931892370,$522.2K,$538.4K,$-16.2K,522227.9222520842,538436.6261235682,-16208.703871483911
244,245,JST,$193.4M,193378572.563616000,$509.9K,$535.1K,$-25.2K,509871.2056595858,535078.8022833657,-25207.59662377994
245,246,MLN,$32.8M,32829733.950251594,$572.2K,$460.5K,$111.7K,572207.4808974116,460481.3396645661,111726.14123284546
246,247,POND,$66.9M,66932166.857153036,$484.5K,$540.5K,$-56K,484534.7441792992,540521.6841625466,-55986.93998324747
247,248,QUICK,$21.6K,21559.183201457,$487.5K,$534.9K,$-47.4K,487508.73816447053,534886.296691441,-47377.558526970475
248,249,ORN,$18.4M,18387256.427307446,$461.7K,$548.5K,$-86.7K,461746.8830178061,548461.7970395046,-86714.91402169861
249,250,STRAX,$66M,65996431.753032030,$403.8K,$596.6K,$-192.7K,403836.07075730816,596581.2550281346,-192745.18427082643
250,251,PORTO,$14.2M,14191859.300580000,$536.2K,$459.3K,$76.9K,536182.8921264105,459325.754944189,76857.13718222143
251,252,FOR,$13.8M,13759668.206249999,$363.3K,$625.7K,$-262.4K,363299.113916651,625710.7266002365,-262411.6126835855
253,254,GAS,$24.4M,24445037.315918233,$347.8K,$617.4K,$-269.6K,347823.531512704,617379.1264368414,-269555.5949241375
254,255,OM,$14.5M,14521495.389086513,$442.1K,$520.3K,$-78.1K,442119.4718409299,520255.4247541867,-78135.95291325683
255,256,SKL,$112.4M,112415151.895066230,$343.8K,$606.5K,$-262.7K,343824.98026860505,606536.6517050421,-262711.67143643706
256,257,BAR,$24.5M,24500046.514679097,$436.6K,$513.2K,$-76.6K,436642.76682102,513213.941291837,-76571.174470817
257,258,LQTY,$75.7M,75716469.655761880,$455.1K,$485.5K,$-30.3K,455148.53547251475,485482.6611322162,-30334.125659701436
258,259,UMA,$102M,102040720.446122100,$424.2K,$515.4K,$-91.3K,424188.66815505107,515448.0608633637,-91259.3927083126
259,260,CITY,$17.1M,17079725.238257440,$454.4K,$473.1K,$-18.6K,454437.2345539349,473060.6491495471,-18623.41459561224
260,261,IOTX,$142.7M,142674036.581841230,$504.3K,$423.2K,$81.1K,504298.89886339044,423185.3129186867,81113.58594470374
261,262,PZP,$3.3M,3346618.492000000,$527.6K,$397.1K,$130.5K,527590.64739346,397106.40508006,130484.24231340003
262,263,XEC,$454.3M,454292723.564606200,$434.2K,$474.1K,$-39.9K,434181.8430204675,474099.4361190647,-39917.593098597164
263,264,FLUX,$100.7M,100662150.070170690,$433.5K,$458.2K,$-24.7K,433490.50744471536,458238.5716136001,-24748.06416888476
264,265,QTUM,$225.2M,225233871.505923000,$401.1K,$482.5K,$-81.5K,401088.72284880665,482547.41872061626,-81458.69587180967
265,266,ACA,$37.9M,37877957.617598794,$338.1K,$536.5K,$-198.4K,338094.53163174755,536464.4490535796,-198369.91742183204
266,267,RAY,$40.2M,40192505.897941485,$446K,$412.1K,$33.9K,445983.19352885295,412126.729186496,33856.46434235695
267,268,ALICE,$39.4M,39361056.020542500,$404K,$445.2K,$-41.3K,403974.7221234073,445226.4348858855,-41251.71276247821
268,269,CTK,$42.7M,42700439.424398620,$376.4K,$462.4K,$-85.9K,376428.9212570125,462359.53843703883,-85930.61718002634
269,270,ADX,$18.9M,18928327.254768826,$413.6K,$412.5K,$1.1K,413582.9678714165,412477.80339525896,1105.164476157519
270,271,BNX,$0,0.000000000,$370K,$449.6K,$-79.7K,369967.4317249518,449641.1806102336,-79673.74888528185
271,272,HARD,$14.7M,14693887.593708495,$387.7K,$426.1K,$-38.4K,387701.1356157265,426057.053997815,-38355.91838208847
272,273,DGB,$105.6M,105589729.709128920,$381.3K,$432.4K,$-51.1K,381261.7322639035,432404.46057084197,-51142.7283069385
273,274,GTC,$58.7M,58735921.295943110,$371.1K,$439.1K,$-68K,371082.39867153,439087.908328731,-68005.509657201
274,275,T,$158M,157982012.511621500,$378.4K,$431.6K,$-53.2K,378420.4479483807,431643.9502643782,-53223.50231599751
275,276,BSV,$603.1M,603089443.414073200,$362.4K,$447.5K,$-85.1K,362413.2998850839,447520.7763978032,-85107.47651271931
276,277,TOMI,$259.5M,259458701.629600020,$391.6K,$404.5K,$-12.9K,391584.45095804,404456.092600286,-12871.641642245988
277,278,LAZIO,$15.9M,15853082.583020002,$367.9K,$425.3K,$-57.5K,367857.45819381624,425319.29916943156,-57461.84097561531
278,279,IDEX,$31.2M,31190661.229274810,$369.5K,$422.2K,$-52.6K,369546.9889550422,422152.1883294463,-52605.199374404154
279,280,MDX,$64.3M,64271191.049439110,$383.9K,$390.4K,$-6.6K,383854.9637206172,390416.17458481085,-6561.21086419369
280,281,ZEN,$102.8M,102756229.892276100,$314.8K,$458.5K,$-143.6K,314813.09622719587,458454.68938099465,-143641.5931537988
281,282,VELO,$18.7M,18741792.826416840,$351.5K,$417.8K,$-66.3K,351499.15248988336,417798.84742916306,-66299.69493927964
282,283,VOXEL,$15.4M,15366095.185798302,$356K,$407.2K,$-51.1K,356034.78297302406,407177.4424142039,-51142.65944117987
283,284,PROM,$72.7M,72719408.508437500,$366.5K,$388.7K,$-22.2K,366513.6239998891,388699.49173304753,-22185.867733158422
284,285,TLM,$36.8M,36790337.489711080,$340.9K,$386.5K,$-45.6K,340884.4862883254,386476.85382862686,-45592.36754030151
285,286,TWT,$333.4M,333440894.048475000,$332K,$364.1K,$-32.1K,331995.7025012373,364137.5304187139,-32141.82791747663
286,287,SLP,$58.4M,58397811.866333745,$349.2K,$344.4K,$4.8K,349179.11930610274,344389.3096043833,4789.80970171947
287,288,SRM,$10.7M,10708957.750586350,$358.9K,$329.1K,$29.8K,358892.2922800937,329126.3125441188,29765.97973597495
288,289,MOVR,$30.7M,30703249.769285083,$338.9K,$346.7K,$-7.8K,338913.4652751043,346747.0753761375,-7833.610101033191
289,290,KP3R,$19M,19029059.081136003,$264.2K,$421.1K,$-156.9K,264248.49963965,421101.21137332,-156852.71173367
290,291,WTC,$13.5M,13521268.883328347,$328.4K,$355.2K,$-26.8K,328400.428757032,355206.6353441145,-26806.206587082517
291,292,ALPHA,$64M,63952570.576500006,$329.1K,$350.1K,$-21.1K,329063.4785136985,350130.04647541704,-21066.56796171857
292,293,DREP,$11.5M,11506555.385882813,$321.8K,$355.4K,$-33.6K,321837.67227626697,355446.46264512,-33608.79036885302
293,294,NKN,$65.3M,65307103.916638434,$284.8K,$391.4K,$-106.7K,284766.77988915285,391427.8627113711,-106661.08282221822
294,295,IOST,$132.4M,132355060.724349590,$320.4K,$353.6K,$-33.2K,320391.68826826493,353625.5264359337,-33233.838167668786
295,296,OSMO,$164.9M,164945172.185070700,$331.3K,$336.5K,$-5.2K,331320.02536182123,336535.51590010675,-5215.490538285514
296,297,FITFI,$6.7M,6660897.008580800,$303.1K,$363.1K,$-60K,303082.01439046126,363095.50312799995,-60013.48873753869
297,298,ATA,$32.9M,32922082.264902275,$366.9K,$295.9K,$71K,366923.70996926003,295896.1995010025,71027.5104682575
298,299,REN,$49.1M,49116322.978248040,$362K,$294.5K,$67.4K,361951.6708565661,294517.59394309367,67434.07691347241
299,300,CELR,$89.8M,89776359.753049170,$271.7K,$383.1K,$-111.3K,271748.1137833395,383080.10645617894,-111331.99267283943
300,301,ATM,$9.6M,9550406.540094001,$294.4K,$358.8K,$-64.4K,294431.092454773,358809.964318477,-64378.87186370401
301,302,EPX,$12.3M,12256161.738777611,$295K,$355.9K,$-60.9K,294983.971470445,355889.737532969,-60905.766062523995
302,303,JUV,$11.7M,11708057.390645150,$294.4K,$354.2K,$-59.7K,294426.677826854,354151.998518958,-59725.32069210399
303,304,KDA,$125.2M,125176205.338796720,$289.3K,$344.6K,$-55.4K,289253.93531435804,344625.4586477205,-55371.52333336249
304,305,SOFI,$10.2M,10202680.566240000,$258.3K,$375.1K,$-116.8K,258281.38702887026,375056.3872471796,-116775.00021830932
305,306,IGU,$1.8M,1832052.241870000,$213.9K,$413.7K,$-199.8K,213863.64794541,413685.055716799,-199821.407771389
306,307,KSM,$161.7M,161719396.006316330,$282.8K,$326K,$-43.2K,282775.0348998686,325981.5277779329,-43206.49287806431
307,308,TAMA,$12.5M,12498378.374430000,$292.3K,$303.6K,$-11.3K,292283.8163818,303600.94459867,-11317.128216870013
308,309,LTO,$24.4M,24372740.506224476,$373.2K,$214.1K,$159.1K,373228.6671071305,214116.289337865,159112.37776926553
309,310,POLYX,$80M,80025339.802191540,$325K,$260.3K,$64.8K,325001.24707418,260250.48875586264,64750.758318317334
310,311,ICX,$165M,164964514.707341880,$281.9K,$295.7K,$-13.8K,281918.27121016214,295746.8589124301,-13828.587702267992
311,312,SUPER,$32.9M,32898680.291477893,$263.7K,$311.4K,$-47.6K,263748.516346786,311377.7760067425,-47629.259659956515
312,313,LOKA,$13.6M,13595980.441226788,$261.7K,$304.7K,$-43K,261719.25848164133,304735.2892488247,-43016.030767183365
313,314,PHA,$58.1M,58142915.290171040,$276.6K,$289.2K,$-12.6K,276630.088101089,289235.357216657,-12605.269115567982
314,315,DENT,$61.7M,61670034.608906040,$254.3K,$309.5K,$-55.2K,254323.34935048342,309475.1753640234,-55151.826013540005
315,316,FLR,$258M,257963921.086789900,$354.3K,$208.4K,$145.9K,354292.09964545676,208432.37307432713,145859.72657112963
316,317,KRL,$10.1M,10099921.294599999,$282.5K,$276.4K,$6K,282469.03696,276449.10865,6019.928309999988
317,318,GLMR,$121.5M,121493871.890564860,$267.2K,$288.9K,$-21.7K,267162.38772020506,288884.56680789706,-21722.17908769199
318,319,RLC,$73.9M,73908064.704646690,$259.5K,$286.2K,$-26.7K,259482.13076223724,286192.7289847506,-26710.598222513356
319,320,GFT,$8.4M,8447575.721750006,$254.1K,$287.4K,$-33.3K,254053.51591652003,287355.80225920497,-33302.28634268495
320,321,ROUTE,$25.7M,25739057.605103780,$270.9K,$267K,$3.9K,270923.43548416,267015.15615622,3908.279327940021
321,322,POLS,$25.8M,25755868.568184532,$271.9K,$260.7K,$11.2K,271887.4375829556,260694.7936946241,11192.64388833149
322,323,ERN,$28.4M,28399214.459521554,$245K,$286.2K,$-41.2K,245003.88812559,286240.150401325,-41236.26227573503
323,324,DATA,$21.2M,21204566.516948060,$227.1K,$275.3K,$-48.3K,227073.6576144855,275333.3993439621,-48259.741729476584
324,325,CSPR,$385.7M,385684064.107610940,$284.6K,$213.6K,$71K,284574.8130787213,213578.91119273874,70995.90188598257
325,326,BAND,$139.4M,139361469.193651530,$233.2K,$264.1K,$-30.9K,233239.70898604376,264089.91269514995,-30850.2037091062
326,327,AST,$15.4M,15400733.203112269,$271.6K,$218.7K,$52.9K,271602.30749589147,218684.85894017352,52917.44855571799
